"Source:","C:\Users\Andrew\Desktop\System CD Updates\data\Old designs\DAISY256\DAISY256.kicad_sch"
"Date:","4/1/2024 3:28:49 PM"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","96"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, C3, C5, C13, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C32, C33, C34, C35, ","19","100nF","C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","Unpolarized capacitor, small symbol",""
"C4, C8, ","2","220uF","C_Polarized_US","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Polarized capacitor, US symbol",""
"C6, C7, C14, C15, ","4","22pF","C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","Unpolarized capacitor, small symbol",""
"C9, C12, C17, C18, C19, ","5","47nF","C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","Unpolarized capacitor, small symbol",""
"C10, C11, C30, ","3","10uF","C_Polarized_US","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","Polarized capacitor, US symbol",""
"C16, ","1","22nF","C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","Unpolarized capacitor, small symbol",""
"C31, ","1","2.2uF","C_Polarized_US","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","Polarized capacitor, US symbol",""
"D1, ","1","BUSY","LED","LED_THT:LED_D3.0mm","Light emitting diode",""
"H1, H2, H3, H4, ","4","MountingHole_Pad","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad","Mounting Hole with connection",""
"J1, ","1","DC_JACK","Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Horizontal","DC Barrel Jack with an internal switch",""
"J2, ","1","DE9","DB9_Female_MountingHoles","Connector_Dsub:DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm","9-pin female D-SUB connector, Mounting Hole",""
"J3, ","1","Audio Out","AudioJack3_SwitchT","Audio Jack:Jack_3.5mm_CUI_SJ1-3544_Horizontal","Audio Jack, 3 Poles (Stereo / TRS), Switched T Pole (Normalling)",""
"J4, ","1","TxE","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J5, ","1","SPKR","Conn_01x02","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J6, ","1","32/16","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J7, ","1","MODE","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
