"Source:","C:\Users\Andrew\Desktop\System CD Updates\data\duodyne\01 template.prototyping\template.prototyping.kicad_sch"
"Date:","3/29/2023 11:13:32 AM"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","194"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","D1","LED","template.prototyping-rescue:LED-device","LED_THT:LED_D3.0mm_Horizontal_O3.81mm_Z2.0mm",""
"","","H1","MountingHole","template.prototyping-rescue:MountingHole_Pad-mechanical","MountingHole:MountingHole_3.2mm_M3_Pad",""
"","","H2","MountingHole","template.prototyping-rescue:MountingHole_Pad-mechanical","MountingHole:MountingHole_3.2mm_M3_Pad",""
"","","J1","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J2","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J3","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J4","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J5","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J6","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J7","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J8","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J9","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J10","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J11","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J12","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J13","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J14","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J15","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J16","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J17","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J18","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J19","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J20","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J21","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J22","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J23","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J24","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J25","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J26","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J27","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J28","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J29","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J30","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J31","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
