"Source:","C:\Users\Andrew\Desktop\System CD Updates\data\duodyne\02 backplane.8-slot\backplane.8-slot.kicad_sch"
"Date:","3/29/2023 11:14:28 AM"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","39"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","D5","LED","backplane.8-slot-rescue:LED-device","LED_THT:LED_D3.0mm",""
"","","H1","MountingHole","backplane.8-slot-rescue:MountingHole_Pad-mechanical","MountingHole:MountingHole_3.2mm_M3_Pad",""
"","","H2","MountingHole","backplane.8-slot-rescue:MountingHole_Pad-mechanical","MountingHole:MountingHole_3.2mm_M3_Pad",""
"","","H3","MountingHole","backplane.8-slot-rescue:MountingHole_Pad-mechanical","MountingHole:MountingHole_3.2mm_M3_Pad",""
"","","H4","MountingHole","backplane.8-slot-rescue:MountingHole_Pad-mechanical","MountingHole:MountingHole_3.2mm_M3_Pad",""
"","","J1","CONN_02X25","backplane.8-slot-rescue:CONN_02X25-conn","Connector_PinSocket_2.54mm:PinSocket_2x25_P2.54mm_Vertical",""
"","","J2","CONN_02X25","backplane.8-slot-rescue:CONN_02X25-conn","Connector_PinSocket_2.54mm:PinSocket_2x25_P2.54mm_Vertical",""
"","","J3","CONN_02X25","backplane.8-slot-rescue:CONN_02X25-conn","Connector_PinSocket_2.54mm:PinSocket_2x25_P2.54mm_Vertical",""
"","","J4","CONN_02X25","backplane.8-slot-rescue:CONN_02X25-conn","Connector_PinSocket_2.54mm:PinSocket_2x25_P2.54mm_Vertical",""
"","","J5","CONN_02X25","backplane.8-slot-rescue:CONN_02X25-conn","Connector_PinSocket_2.54mm:PinSocket_2x25_P2.54mm_Vertical",""
"","","J6","CONN_02X25","backplane.8-slot-rescue:CONN_02X25-conn","Connector_PinSocket_2.54mm:PinSocket_2x25_P2.54mm_Vertical",""
"","","J7","CONN_02X25","backplane.8-slot-rescue:CONN_02X25-conn","Connector_PinSocket_2.54mm:PinSocket_2x25_P2.54mm_Vertical",""
"","","J8","CONN_02X25","backplane.8-slot-rescue:CONN_02X25-conn","Connector_PinSocket_2.54mm:PinSocket_2x25_P2.54mm_Vertical",""
"","","J9","CONN_02X25","backplane.8-slot-rescue:CONN_02X25-conn","Connector_PinSocket_2.54mm:PinSocket_2x25_P2.54mm_Vertical",""
"","","J10","CONN_02X25","backplane.8-slot-rescue:CONN_02X25-conn","Connector_PinSocket_2.54mm:PinSocket_2x25_P2.54mm_Vertical",""
"","","J11","CONN_02X25","backplane.8-slot-rescue:CONN_02X25-conn","Connector_PinSocket_2.54mm:PinSocket_2x25_P2.54mm_Vertical",""
"","","J12","CONN_02X25","backplane.8-slot-rescue:CONN_02X25-conn","Connector_PinSocket_2.54mm:PinSocket_2x25_P2.54mm_Vertical",""
"","","J13","CONN_02X25","backplane.8-slot-rescue:CONN_02X25-conn","Connector_PinSocket_2.54mm:PinSocket_2x25_P2.54mm_Vertical",""
"","","J14","CONN_02X25","backplane.8-slot-rescue:CONN_02X25-conn","Connector_PinSocket_2.54mm:PinSocket_2x25_P2.54mm_Vertical",""
"","","J15","CONN_02X25","backplane.8-slot-rescue:CONN_02X25-conn","Connector_PinSocket_2.54mm:PinSocket_2x25_P2.54mm_Vertical",""
"","","J16","CONN_02X25","backplane.8-slot-rescue:CONN_02X25-conn","Connector_PinSocket_2.54mm:PinSocket_2x25_P2.54mm_Vertical",""
"","","J17","CONN_02X25","backplane.8-slot-rescue:CONN_02X25-conn","Connector_PinSocket_2.54mm:PinSocket_2x25_P2.54mm_Vertical",""
