"Source:","C:\Users\Andrew\Desktop\System CD Updates\data\duodyne\08 input-output.Disk\input-output.Disk.kicad_sch"
"Date:","3/29/2023 11:27:43 AM"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","111"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","0.1u","input-output.Disk-rescue:C-device","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C2","0.1u","input-output.Disk-rescue:C-device","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C3","0.1u","input-output.Disk-rescue:C-device","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C4","0.1u","input-output.Disk-rescue:C-device","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C5","0.1u","input-output.Disk-rescue:C-device","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C6","0.1u","input-output.Disk-rescue:C-device","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C7","0.1u","input-output.Disk-rescue:C-device","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C8","0.1u","input-output.Disk-rescue:C-device","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C9","0.1u","input-output.Disk-rescue:C-device","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C10","0.1u","input-output.Disk-rescue:C-device","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C11","0.1u","input-output.Disk-rescue:C-device","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C12","0.1u","input-output.Disk-rescue:C-device","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C13","0.1u","input-output.Disk-rescue:C-device","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C14","0.1u","input-output.Disk-rescue:C-device","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C15","0.1u","input-output.Disk-rescue:C-device","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C16","0.1u","input-output.Disk-rescue:C-device","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C17","0.1u","input-output.Disk-rescue:C-device","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C18","0.1u","input-output.Disk-rescue:C-device","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C19","0.1u","input-output.Disk-rescue:C-device","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C20","10u","input-output.Disk-rescue:CP-device","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"","","C21","10u","input-output.Disk-rescue:CP-device","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"","","C22","10u","input-output.Disk-rescue:CP-device","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"","","C23","10u","input-output.Disk-rescue:CP-device","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"","","C24","10u","input-output.Disk-rescue:CP-device","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"","","C25","10u","input-output.Disk-rescue:CP-device","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"","","C26","10u","input-output.Disk-rescue:CP-device","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"","","C27","10u","input-output.Disk-rescue:CP-device","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"","","C28","2.2nF","input-output.Disk-rescue:C-device","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C29","2.2nF","input-output.Disk-rescue:C-device","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C30","2.2nF","input-output.Disk-rescue:C-device","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
