Qty,Reference(s),Value
14,C1` C2` C3` C4` C5` C6` C7` C8` C9` C10` C11` C12` C17` C18,0.1uf
3,C13` C14` C16,10uf
1,C15,100nF
1,D1,LED
4,D2` D3` D4` D5,1N4001
2,H1` H2,MountingHole
1,J1,KEYBOARD AND MOUSE
1,J2,AUDIO OUT
1,J3,ESP_SERIAL_1
1,J4,ESP_SERIAL_0
1,J5,VGA
1,J6,RESET SEL
1,J7,IO PORT ADDR
1,J8,Keyboard
1,J9,Mouse
1,J10,VGA
3,P1` P2` P3,CONN_02X25
1,P4,BYPASS
1,R1,470ohm
1,R2,270ohm
4,R3` R4` R10` R11,120ohm
1,R5,150ohm
2,R6` R8,2Kohm
2,R7` R9,1Kohm
3,R12` R14` R16,400ohm
3,R13` R15` R17,800ohm
2,R18` R19,0ohm
1,RN1,1Kohm` networked` 7 pin` 6 resistor
1,RN2,10Kohm` networked` 9 pin` 8 resistor
1,U1,74LS04
3,U2` U4` U5,74LS32
1,U3,74LS07
2,U6` U8,74HC595
2,U7` U9,74HC165
3,U10` U13` U15,74LS244
2,U11` U12,ESP32_MODULE
1,U14,74LS245
1,U16,74LS688
